order_book_id,trading_hours,market_tplus,symbol,exchange,abbrev_symbol,round_lot,type,de_listed_date,listed_date,status,index,base_date,base_point,underlying_symbol
931477.INDX,"09:31-11:30,13:01-15:00",0.0,中证华夏银行ESG指数,,HXYHESG,1.0,INDX,0000-00-00,2020-04-30,Active,1715.0,2017-06-30,1000.0,
931479.INDX,"09:31-11:30,13:01-15:00",0.0,中证证券保险领先指数,,ZQBX,1.0,INDX,0000-00-00,2020-05-06,Active,1724.0,2015-12-31,1000.0,
931480.INDX,"09:31-11:30,13:01-15:00",0.0,中证线上消费主题指数,,XSXF,1.0,INDX,0000-00-00,2020-05-06,Active,1717.0,2014-12-31,1000.0,
931481.INDX,"09:31-11:30,13:01-15:00",0.0,中证沪港深线上消费主题指数,,SHSXSXF,1.0,INDX,0000-00-00,2020-05-06,Active,1718.0,2014-12-31,1000.0,
931482.INDX,"09:31-11:30,13:01-15:00",0.0,中证沪港深线上消费主题港元指数,,SHSXSXFHKD,1.0,INDX,0000-00-00,2020-05-06,Active,1719.0,2014-12-31,1000.0,
931483.INDX,"09:31-11:30,13:01-15:00",0.0,中证电子科技50指数,,DZKJ50,1.0,INDX,0000-00-00,2020-06-12,Active,1731.0,2014-12-31,1000.0,
931484.INDX,"09:31-11:30,13:01-15:00",0.0,中证医药及医疗器械创新指数,,CSYYCX,1.0,INDX,0000-00-00,2020-05-06,Active,1720.0,2014-12-31,1000.0,
931487.INDX,"09:31-11:30,13:01-15:00",0.0,中证沪港深人工智能50指数,,SHSRGZN50,1.0,INDX,0000-00-00,2020-05-06,Active,1722.0,2014-12-31,1000.0,
931488.INDX,"09:31-11:30,13:01-15:00",0.0,中证沪港深人工智能50港元指数,,SHSRGZN50HKD,1.0,INDX,0000-00-00,2020-05-06,Active,1723.0,2014-12-31,1000.0,
931489.INDX,"09:31-11:30,13:01-15:00",0.0,中证互联互通A股策略指数,,AGTCL,1.0,INDX,0000-00-00,2020-05-21,Active,1729.0,2017-03-31,1000.0,
931491.INDX,"09:31-11:30,13:01-15:00",0.0,中证5G产业100指数,,5G100,1.0,INDX,0000-00-00,2020-06-12,Active,1733.0,2015-12-31,1000.0,
931492.INDX,"09:31-11:30,13:01-15:00",0.0,中证沪港深5G产业100指数,,SHS5G100,1.0,INDX,0000-00-00,2020-06-12,Active,1734.0,2015-12-31,1000.0,
931493.INDX,"09:31-11:30,13:01-15:00",0.0,中证精选市场金矿主题指数,,JXSCJK,1.0,INDX,0000-00-00,2023-11-01,Active,2393.0,2014-12-31,1000.0,
931494.INDX,"09:31-11:30,13:01-15:00",0.0,中证消费电子主题指数,,XFDZ,1.0,INDX,0000-00-00,2020-06-12,Active,1730.0,2012-12-31,1000.0,
931495.INDX,"09:31-11:30,13:01-15:00",0.0,中证工业互联网主题指数,,GYHL,1.0,INDX,0000-00-00,2020-07-08,Active,1759.0,2014-12-31,1000.0,
931497.INDX,"09:31-11:30,13:01-15:00",0.0,中证沪港深内地新型基础设施建设主题指数,,HGSXJJ,1.0,INDX,0000-00-00,2020-07-07,Active,1757.0,2014-12-31,1000.0,
931499.INDX,"09:31-11:30,13:01-15:00",0.0,中证长三角信用债指数,,CSJXYZ,1.0,INDX,0000-00-00,2020-07-01,Active,1741.0,2014-12-31,100.0,
931500.INDX,"09:31-11:30,13:01-15:00",0.0,中证京津冀信用债指数,,JJJXYZ,1.0,INDX,0000-00-00,2020-07-01,Active,1742.0,2014-12-31,100.0,
931501.INDX,"09:31-11:30,13:01-15:00",0.0,中证粤港澳大湾区信用债指数,,DWQXYZ,1.0,INDX,0000-00-00,2020-07-01,Active,1744.0,2014-12-31,100.0,
931502.INDX,"09:31-11:30,13:01-15:00",0.0,中证北京市信用债指数,,BJXYZ,1.0,INDX,0000-00-00,2020-07-01,Active,1745.0,2014-12-31,100.0,
931503.INDX,"09:31-11:30,13:01-15:00",0.0,中证上海市信用债指数,,SHXYZ,1.0,INDX,0000-00-00,2020-07-01,Active,1746.0,2014-12-31,100.0,
931504.INDX,"09:31-11:30,13:01-15:00",0.0,中证天津市信用债指数,,TJXYZ,1.0,INDX,0000-00-00,2020-07-01,Active,1747.0,2014-12-31,100.0,
931505.INDX,"09:31-11:30,13:01-15:00",0.0,中证江苏省信用债指数,,JSXYZ,1.0,INDX,0000-00-00,2020-07-01,Active,1748.0,2014-12-31,100.0,
931506.INDX,"09:31-11:30,13:01-15:00",0.0,中证广东省信用债指数,,GDXYZ,1.0,INDX,0000-00-00,2020-07-01,Active,1749.0,2014-12-31,100.0,
