trade_date,order_book_id,open,close,high,low,total_turnover,volume,prev_close
2026-03-27,801114.INDX,9744.78,9970.87,10062.42,9653.45,1373129882.0,124707076.0,9821.01
2026-03-27,801115.INDX,4166.17,4293.152,4352.41,4131.45,1368364340.0,204220992.0,4207.588
2026-03-27,801116.INDX,7255.079,7354.517,7437.47,7203.15,8141328675.0,390583271.0,7387.77
2026-03-27,801120.INDX,15382.15,15661.35,15698.29,15382.15,22602931555.0,1302326069.0,15430.27
2026-03-27,801124.INDX,13668.27,14025.04,14152.15,13607.32,3040827310.0,342387316.0,13748.35
2026-03-27,801125.INDX,41373.55,41991.15,42249.78,41286.35,8596789886.0,105939396.0,41503.7
2026-03-27,801126.INDX,3768.591,3852.851,3884.21,3756.87,1484529337.0,104510193.0,3801.354
2026-03-27,801127.INDX,7106.243,7233.98,7263.89,7081.58,2987254706.0,257464662.0,7141.671
2026-03-27,801128.INDX,1784.89,1822.01,1833.19,1774.78,1381670076.0,103057396.0,1794.99
2026-03-27,801129.INDX,6816.09,7065.137,7130.62,6772.64,5111860238.0,388967106.0,6765.401
2026-03-27,801130.INDX,1624.867,1656.979,1656.98,1624.867,9681089727.0,1266514200.0,1636.91
2026-03-27,801131.INDX,1822.99,1868.779,1880.34,1811.33,3541384626.0,497719523.0,1838.534
2026-03-27,801132.INDX,1543.674,1566.183,1581.12,1525.11,4795633018.0,570733833.0,1554.017
2026-03-27,801133.INDX,1519.34,1557.969,1574.06,1510.27,1344072083.0,198060844.0,1530.378
2026-03-27,801140.INDX,2372.578,2420.8,2424.83,2372.578,23581817291.0,2068920809.0,2397.66
2026-03-27,801141.INDX,3084.387,3151.856,3195.95,3046.89,11280756120.0,894333680.0,3120.2
2026-03-27,801142.INDX,1877.224,1899.288,1923.81,1857.22,5665373626.0,435313291.0,1892.576
2026-03-27,801143.INDX,2326.112,2387.217,2406.64,2305.96,2952875919.0,468722496.0,2351.821
2026-03-27,801145.INDX,1855.94,1918.58,1939.76,1843.65,3682811625.0,270551342.0,1883.19
2026-03-27,801150.INDX,7627.071,7972.944,7983.73,7627.07,107615765395.0,6248959062.0,7688.637
2026-03-27,801151.INDX,11606.12,12362.41,12463.95,11551.74,47302004084.0,2648112517.0,11693.71
2026-03-27,801152.INDX,5706.39,5937.47,5981.83,5672.5,10272430388.0,442007287.0,5764.17
2026-03-27,801153.INDX,6062.855,6294.705,6332.86,6027.06,19095519500.0,755505372.0,6115.303
2026-03-27,801154.INDX,4905.006,5020.115,5048.04,4892.95,3159354166.0,328118187.0,4947.076
2026-03-27,801155.INDX,5981.41,6124.957,6156.05,5954.95,9694065447.0,931736133.0,6014.113
2026-03-27,801156.INDX,6164.606,6419.955,6453.33,6142.08,18092391807.0,1143479566.0,6220.11
2026-03-27,801160.INDX,2780.07,2785.065,2808.32,2766.24,111527177177.0,14216553594.0,2806.91
2026-03-27,801161.INDX,3656.61,3655.9,3725.68,3591.12,102484123041.0,13227721182.0,3691.17
2026-03-27,801163.INDX,3552.849,3627.927,3677.84,3526.7,9043054135.0,988832412.0,3594.089
2026-03-27,801170.INDX,2231.21,2250.453,2256.39,2231.21,26015786474.0,3787863907.0,2246.153
2026-03-27,801178.INDX,4548.14,4621.93,4656.59,4526.2,5852871263.0,569897535.0,4578.2
2026-03-27,801179.INDX,1608.88,1605.314,1622.81,1586.94,4538700754.0,811079973.0,1617.29
2026-03-27,801180.INDX,2025.523,2062.774,2066.13,2025.52,14439420365.0,3032006049.0,2044.52
2026-03-27,801181.INDX,2326.554,2369.973,2390.04,2308.85,13096757526.0,2603639867.0,2348.575
2026-03-27,801183.INDX,921.356,934.062,941.46,910.21,1342662838.0,428366182.0,928.62
2026-03-27,801191.INDX,1268.262,1290.577,1302.94,1259.72,8296309325.0,934441264.0,1276.392
2026-03-27,801193.INDX,5864.52,5943.072,5974.45,5851.4,17919251746.0,1684203692.0,5904.727
2026-03-27,801194.INDX,1267.13,1268.207,1280.07,1256.95,9293920091.0,329057836.0,1268.48
2026-03-27,801200.INDX,2052.206,2094.67,2096.97,2052.206,12603240960.0,1596729637.0,2072.297
2026-03-27,801202.INDX,4807.588,4897.153,4934.67,4777.52,2382420690.0,303143496.0,4855.635
2026-03-27,801203.INDX,3070.376,3118.367,3140.46,3047.44,5548073866.0,946389813.0,3099.789
2026-03-27,801204.INDX,4172.307,4301.069,4317.13,4148.13,929649523.0,82568759.0,4221.498
2026-03-27,801206.INDX,10420.26,10760.53,10862.2,10358.99,2565107170.0,225371755.0,10519.03
2026-03-27,801210.INDX,8304.781,8465.805,8471.49,8304.78,8429842615.0,817027622.0,8393.754
2026-03-27,801218.INDX,5751.7,5839.888,5886.88,5700.94,2806613639.0,185185705.0,5800.752
2026-03-27,801219.INDX,1900.75,1939.21,1947.94,1888.01,810384236.0,75315421.0,1922.078
2026-03-27,801223.INDX,2309.485,2328.302,2352.74,2289.0,17496005159.0,1228512304.0,2328.763
2026-03-27,801230.INDX,4363.809,4464.7,4500.57,4363.809,3512406380.0,292421925.0,4431.1
2026-03-27,801231.INDX,4360.29,4461.098,4514.55,4330.51,3512406380.0,292421925.0,4427.52
